Statsguru includes the following current or recent Twenty20 Internationals:
"Scotland v Pakistan at Edinburgh, 2nd T20I, Jun 13, 2018 [T20I # 673]"
"Netherlands v Ireland at Rotterdam, Netherlands Tri-Nation T20I Series 2nd match, Jun 13, 2018 [T20I # 672]"
"Scotland v Pakistan at Edinburgh, 1st T20I, Jun 12, 2018 [T20I # 671]"
"Netherlands v Ireland at Rotterdam, Netherlands Tri-Nation T20I Series 1st match, Jun 12, 2018 [T20I # 670]"
