Pos,Country,Matches,Points,Rating
1,England,44,"5,446",124
2,India,45,"5,492",122
3,South Africa,34,"3,842",113
4,New Zealand,41,"4,602",112
5,Australia,33,"3,400",103
6,Pakistan,32,"3,279",102
7,Bangladesh,24,"2,220",93
8,Sri Lanka,43,"3,302",77
9,West Indies,29,"1,989",69
10,Afghanistan,28,"1,758",63
11,Zimbabwe,37,"2,021",55
12,Ireland,20,766,38
13,Scotland,16,535,33
14,UAE,13,236,18
